"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.42797144057119","2.58037225042301","2.51012145748988","2.4799416484318","2.78430057027843","3.60041636806418","3.92219425790522","3.87545930345885","3.84825704549641","3.8395524760028","3.74690995883288","3.69850209706411","3.76611511521673","3.84160869759628","3.64994467355396","4.09113163383701","4.10102350136625","4.18876008118992","","","","","","",
"Afghanistan","AFG","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.487061839259","16.6724791741104","17.3590963159056","16.4238048876216","16.1874478550593","17.5669266221133","17.6968929946544","13.0773802342792","12.4591753758617","13.6830310899622","12.3290730854736","11.4642976258788","11.4178370784993","11.3716417845987","11.3083308242137","",
"Angola","AGO","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","8.73397320520905","9.81492389738946","6.67798284833021","7.4980189124104","5.59110634759698","4.57012373081912","14.2857142857143","2.63157894736842","5.10204081632653","4.52735584722017","3.64628079359054","3.44574999431473","4.37839118384962","6.25937084278895","3.22287577892959","2.89016332100962","3.87310081436431","","","","","","","","","","","","","","","","",
"Albania","ALB","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.53872956623348","7.4845817471519","6.24004135918578","6.07476220166062","6.38438818544257","5.96271040567737","5.67059157327663","7.32517041622759","8.3229718015173","8.92772077927047","9.33037419135013","7.61493567370763","4.99776137699549","5.19757521538756","5.45212214324772","5.66188722901504","4.61442811424454","5.0598104313512","5.32582140738915","5.67148881655043","5.66197272870854","5.9443146061483",
"Andorra","AND","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.63664390820397","3.38414634146341","3.4095166729112","3.62883493318276","3.67834273678512","3.45571776713344","3.44754331115698","3.41965380945891","3.55140323559298","3.45560468337856","3.70626196443725","3.62609138121815","3.37228280728537","3.22208691219368","3.17685956958166","3.24521127205024","3.20404138265112","",
"Arab World","ARB","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","7.10138928470619","6.88149385573329","6.95578876869165","7.25556681381926","7.17976009574059","6.85022242760156","7.92339701333854","8.3600230644949","9.21232145084111","10.0907536797924","10.1963636718077","10.4035862330296","11.2930243279596","11.6315027169277","11.1382841673213","10.5270589644463","10.141748686022","10.1508639920394","10.326823046984","10.1572342739081","10.2243556293084","10.1600325984392","9.94979489264233","10.4414934712775","10.3578085812046","11.4165224560019","13.0990576691663","12.7679171533871","12.5941953643248","11.8668562339567","10.8726860664108","10.3470157426517","10.1266951283773","9.66355339891054","11.00256241489","10.3609375788505","9.39875076818324","9.51253705675046","9.54330493321244","9.80143911163558","10.6570965215415","10.8227744239737","",
"United Arab Emirates","ARE","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","0.910603124517689","1.12309252017748","2.74407202159","3.43216609989027","3.05756754261542","3.72808374268427","6.41237306946875","7.92687202019258","8.76975262678911","9.14469269010992","8.92751717475311","8.27561854470455","8.77449108700372","8.84071248347951","8.16657688315442","7.49388851578241","7.42306391613121","7.58367150146651","7.8437806072478","6.58769274582126","6.77246265719199","6.63729265402844","7.89550062539303","8.63108731478083","8.55748953651097","9.07200029229159","13.3137591852656","13.0634763203571","12.2624610762446","11.5123829171924","10.6080661404218","9.65695462798033","9.0255775725641","8.60026538838952","9.19537711686217","7.96837943178444","7.71861928016394","7.68272364874492","7.54430538784228","7.77705956214063","8.84850116061497","8.98441789806352","8.78444021987079",
"Argentina","ARG","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","41.184160179361","41.0085848893582","37.8240272440343","36.1962188354532","36.6454303394205","31.5447436578601","35.762858969727","36.358073530149","34.3339746673214","34.0368852105037","38.2151082839456","39.1167603278579","36.5949867349342","34.1276092101854","32.6851576731524","29.4760969895125","28.7652362921224","31.3602562635854","30.6694675312814","29.7084408031154","29.6418473138549","27.4195971594836","27.4966462800495","27.9996758567287","30.9493718883737","26.7897045521809","24.3864490932335","21.8591315586603","18.2399115325496","17.8191034804226","17.246714793819","17.5356582175806","18.2278844085379","17.8379535588517","16.96149871439","16.4943284527386","16.0932352177687","20.3477509757502","22.4867953589893","18.9370136214371","18.340415936715","17.8777938558849","17.0474154518997","16.5383660984547","15.5837772738051","15.8448608064195","15.8506983942663","15.2168009115954","15.0110542553443","14.7727785491821","14.1815854549835","13.6009428617082","12.9497373600566",
"Armenia","ARM","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.1530510832837","35.2992847283222","30.4039459685999","21.916314440749","29.1315832145734","24.2660695391682","23.4270856006052","22.4605416005017","19.8891543478551","21.1571148409124","16.8369680443362","15.6777393686141","15.1182002532603","15.3091999859415","13.564622970867","13.5450660799688","10.8478919691658","9.37052219562076","8.84215177305394","8.69324759497474","9.68462338925983","10.5684793343769","9.42475853227752","9.68257531952384","9.66640553649803","9.20617105938632","10.2846499812967","10.2324596691107",
"American Samoa","ASM","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
